3635,"Sistema Agroforestal Quesungual"
3646,"Barreras rompevientos: ventajas, establecimiento y especies útiles"
3649,"Zanjas de Ladera - Cosecha de aguas de lluvias"
3689,"Resinación de pinos"
3692,"Manejo de plantaciones forestales"
3694,"Transporte y manejo de la madera en Honduras, desde el bosque hasta el taller de ebanistería"
3695,"El Raleo en Bosque de Pino"
3698,"Producción artesanal de semilla de maíz"
3701,"El Manejo de semillas forestales en apoyo al desarrollo social."
3703,"Construcción de aboneras"
3708,"Producción Artesanal de Semilla de frijol para la seguridad alimentaria"
3711,"Árboles maderables dentro del cafetal "
3716,"Manejo integrado del gorgojo de pino(Dendroctonus frontalis)"
3733,"Prevención y control de incendios forestales."
3734,"Mantenimiento de Sierras Circulares de pequeño Diámetro "
3742,"Sierra circular móvil"
3744,"El Nim (Azadirachta indica)"
3748,"Uso de Maní Forrajero (Arachis Pintoi Krapovickas y Gregory) en Honduras"
3757,"Cosecha de agua con embalses"
3758,"Riegos para la diversificación"
3760,"Riego por goteo en pequeña escala para la producción de hortalizas y granos básicos."
3765,"Establecimiento y manejo de sistemas agroforestales integrados con granos básicos"
3767,"Elaboración de lombricompost"
3768,"Cultivo de maíz, utilizando prácticas adecuadas de producción."
3769,"Cultivo de frijol utilizando practicas adecuadas de producción"
3775,"Producción de elote bajo riego"
3776,"Uso de insecticidas orgánicos en la producción de granos básicos"
3777,"Cultivo de granos básicos con manejo integrado de la fertilidad con bioabonos."
3778,"Producción de pilones para hortalizas"
3779,"Huertos hortícolas familiares"
3780,"Huertos hidropónicos"
3781,"Viveros frutales y huertas frutícolas"
3786,"Diversificación de una pequeña finca cafetalera"
3787,"Producción de leche y carne de cabra"
3788,"Modulos pecuarios escolares de conejo, codorniz, gallina ponedora y cabra."
3790,"Producción de miel rural"
3791,"Elaboración de bloques multinutricionales para suplementación de rumiantes."
3792,"Implementación de módulos productivos pecuarios"
3795,"Injerto de parche en rambután"
3798,"Silos para el almacenamiento de granos básicos"
3800,"Fabricación de pilones de invernadero"
3812,"cosecha de agua (Aljibes o estructuras de almacenamiento de agua) "
3813,"Enmienda de los suelos ácidos, práctica alcalina "
3815,"Normas técnicas y reglamentarias para la elaboración de planes de manejo forestal en bosque de confieras, mixtos y plantaciones(modelo PROCAFOR)."
3816,"Construyendo la sierra circular de mesa"
3818,"Servicios comunitarios grupales de ahorro y crédito"
3819,"Módulos pecuarios familiares de conejo, codorniz, gallina ponedora y pollo de engorde"
3828,"TILAPIA:  Pilas circulares de concreto"
3910,"CULTIVO EN PENDIENTE: DIQUES DE MADERA (TIPO KRAINER)"
3975,"Cuyes: cría y recría"
3984,"Cuyes: Reproduccíon y manejo"
4000,"Le traitement des fourrages grossiers à l'urée: au Niger"
4014,"Invernaderos : tipo parral en España"
4016,"Invernadores : Estructura de madera en Grecia"
4018,"Invernadores: Ventilacíon forzada"
4019,"Invernadores: túneles bajos y de las cubiertas flotantes"
4020,"ACOLCHADO: Materiales utilizados"
4021,"ACOLCHADO: INFLUENCIA POSITIVA EN EL AMBIENTE"
4022,"Invernadores: Los Cortavientos"
4024,"Ostras: la metamorfis de larvas"
4027,"Ostras : La Obtención de Semilla con Colectores en el Medio Natural"
4040,"CHILTOMA: Manejo en semillero"
4041,"CHILTOMA: Labores de manejo en terreno definitivo "
4068,"Le séchage et le stockage des céréales"
4095,"Utilización de la Pulpa de Jícaro, en la Alimentación Bovino."
4100,"Cultivo Endémico: Papas Amargas ( solanum x juzepczukii)"
4102,"Cultivos Andinos: El pepino dulce"
4109,"Réensemencement et réhabilitation des parcours"
4110,"La complémentation alimentaire des ruminants"
4113,"La chiltoma, (el chile dulce, o pimentón (Capsicum annuum): Cosecha"
4115,"El cultivo de la chiltoma: etapas fenológicas"
4116,"Trampa ¿pitfall¿ para insectos de suelo en cultivo de maíz"
4117,"Méthodes de stockage pour les produits Horticoles"
4118,"Méthodes d'emballage pour fruits et légumes"
4119,"Le stockage des pommes de terre"
4327,"Alimentación de cerdas en crecimiento con dietas corregidas con lisina"
4330,"Alimento integral para borrego elaborado con ensilaje de yuca, metionina y pasta de soya"
4332,"Pastoreo rotacional con pastos mejorados y cercas eléctricas"
4335,"Crecimiento y empadre de vaquillas de reemplazo en praderas de riego con trébol Berseem "
4342,"Manejo reproductivo para resolución de anestro en vacas"
4343,"Reducción del periodo de amamantamiento del becerro para acortar el ciclo de reproducción"
4344,"Obras de captación para conservación de suelo y agua"
4345,"Banco de forraje para semilla con pasto Buffel "
4347,"Preparación y suministro líquido de melaza con urea al 3 por ciento para suplir las deficiencias energéticas y proteicas "
4348,"Preservación de suero de leche con lactobacilos para la alimentación de becerros"
4349,"Pastoreo de ovinos para carne en plantaciones de café"
4355,"Suplementación para corderos con el método de alimentación restringida en México"
4360,"Suplementos sólidos para ganado en pastoreo elaborados con leguminosas forrajeras"
4361,"Utilización de la trampa de paso para el control de la mosca del cuerno"
4362,"Trampas de piso y de techo para recolectar polen en México"
4374,"Uso de esquilmos de maiz para la crianza de becerras en traspatio"
4375,"Suministro de grasa protegida o de soprepaso en ganado bovino lechero "
4377,"Dietas integrales para el engorde de corderos de corral en climas templados húmedos"
4379,"Control de la Varroasis en regiones de clima cálido seco "
4382,"Ganancia de peso de bovinos en praderas con Pasto Chontalpo (Brachiaria decumbens)"
4383,"Producción de miel con un sistema de dos reinas por colonia"
4386,"Suplementación con Chamizo y vainas de Mezquite para cabras en lactancia"
4388,"Utilización de la vara de algodón por becerros en crecimiento y control de las plagas del cultivo siguiente"
4389,"Uso de sales aiónicas en la alimentación de vacas secas"
4390,"Uso de ionóforos para la prevención del timpanismo en bovinos pastoreando praderas de leguminosas"
4391,"Suplementación con grasa animal para la reducción de la duración del anestro posparto "
4392,"Elaboración de bloques nutricionales como suplemento alimenticio en México"
4396,"Riego por goteo en alfalfa para incrementar eficiencia en el uso de agua y rentabilidad del cultivo"
4397,"Producción de leche en praderas cultivadas de pasto Rhodes"
4398,"Trasplante de gramíneas para la rehabilitación de pastizales degradados en alternativa a la resiembra"
4399,"Praderas irrigadas de  pasto Rye grass bajo el Sistema 30-06 "
4402,"La pollinaza como suplemento proteico y mineral en rumiantes en México"
4406,"Suplementación fosforada para vacas Cebú posparto en trópico seco"
4407,"La pollinaza como fuente de minerales para rumiantes"
4408,"Alimentación de cerdos con Maíz, forraje y Fríjol, y de cerdas gestantes con rastrojo."
4410,"Aprovechamiento de la soca de sorgo para la alimentación de ganado bovino"
4411,"Excretas ensiladas de cerdo para alimentación de rumiantes"
4412,"Suplementación energética con agua y azúcar de colonias de abejas en clima tropical "
4420,"Empadre controlado para ganado bovino de carne en Nayarit"
4427,"El bagazo de caña tratado con Amoniaco en la alimentación de borregos Pelibuey"
4818,"ConstrucciÃ³n y operaciÃ³n de un secador solar de maderas"
4941,"Cassava chips/ dried roots"
5074,"Forestry: Rattan Collection ( in East Kalimatan - Indonesia)"
5075,"Forestry: Rattan processing ( in East Kalimatan - Indonesia)"
5082,"Folk agronomy: in Upper Hymalayas - India"
5096,"Cuyes: Produccíon de Cavia porcellus) en los países andinos"
5100,"Integration of livestock with perennial crops"
5102,"Straw treatment: Torgrimsby method"
5103,"Straw: Bulk treatment with ammonia in stacks"
5105,"Mulberry: an exceptional forage available almost worldwide"
5110,"Sugar palm juice: a feed resource for livestock"
5111,"The camel in Eritrea : an all purpose animal"
5209,"Cultivo endémico: OCA (Oxalis tuberosa)"
5214,"Boreholes and Wells"
5448,"Crianza artificial de corderos"
